,PubChem_pattern,SMARTS,images
472,Cc1cc(O)ccc1,[#6]c1cc([#8])ccc1,../data/pubchemfp_pattern_images/472.png
473,Cc1cc(S)ccc1,[#6]c1cc(S)ccc1,../data/pubchemfp_pattern_images/473.png
474,Cc1cc(N)ccc1,[#6]c1cc([#7])ccc1,../data/pubchemfp_pattern_images/474.png
475,Cc1cc(Cl)ccc1,[#6]c1cc([#17])ccc1,../data/pubchemfp_pattern_images/475.png
476,Cc1cc(Br)ccc1,[#6]c1cc([#35])ccc1,../data/pubchemfp_pattern_images/476.png
477,Oc1cc(O)ccc1,[#8]c1cc([#8])ccc1,../data/pubchemfp_pattern_images/477.png
478,Oc1cc(S)ccc1,[#8]c1cc(S)ccc1,../data/pubchemfp_pattern_images/478.png
479,Oc1cc(N)ccc1,[#8]c1cc([#7])ccc1,../data/pubchemfp_pattern_images/479.png
480,Oc1cc(Cl)ccc1,[#8]c1cc([#17])ccc1,../data/pubchemfp_pattern_images/480.png
481,Oc1cc(Br)ccc1,[#8]c1cc([#35])ccc1,../data/pubchemfp_pattern_images/481.png
482,Sc1cc(S)ccc1,Sc1cc(S)ccc1,../data/pubchemfp_pattern_images/482.png
483,Sc1cc(N)ccc1,Sc1cc([#7])ccc1,../data/pubchemfp_pattern_images/483.png
484,Sc1cc(Cl)ccc1,Sc1cc([#17])ccc1,../data/pubchemfp_pattern_images/484.png
485,Sc1cc(Br)ccc1,Sc1cc([#35])ccc1,../data/pubchemfp_pattern_images/485.png
486,Nc1cc(N)ccc1,[#7]c1cc([#7])ccc1,../data/pubchemfp_pattern_images/486.png
487,Nc1cc(Cl)ccc1,[#7]c1cc([#17])ccc1,../data/pubchemfp_pattern_images/487.png
488,Nc1cc(Br)ccc1,[#7]c1cc([#35])ccc1,../data/pubchemfp_pattern_images/488.png
489,Clc1cc(Cl)ccc1,[#17]c1cc([#17])ccc1,../data/pubchemfp_pattern_images/489.png
490,Clc1cc(Br)ccc1,[#17]c1cc([#35])ccc1,../data/pubchemfp_pattern_images/490.png
491,Brc1cc(Br)ccc1,[#35]c1cc([#35])ccc1,../data/pubchemfp_pattern_images/491.png
492,Cc1c(C)cccc1,[#6]c1c([#6])cccc1,../data/pubchemfp_pattern_images/492.png
493,Cc1c(O)cccc1,[#6]c1c([#8])cccc1,../data/pubchemfp_pattern_images/493.png
494,Cc1c(S)cccc1,[#6]c1c(S)cccc1,../data/pubchemfp_pattern_images/494.png
495,Cc1c(N)cccc1,[#6]c1c([#7])cccc1,../data/pubchemfp_pattern_images/495.png
496,Cc1c(Cl)cccc1,[#6]c1c([#17])cccc1,../data/pubchemfp_pattern_images/496.png
497,Cc1c(Br)cccc1,[#6]c1c([#35])cccc1,../data/pubchemfp_pattern_images/497.png
498,Oc1c(O)cccc1,[#8]c1c([#8])cccc1,../data/pubchemfp_pattern_images/498.png
499,Oc1c(S)cccc1,[#8]c1c(S)cccc1,../data/pubchemfp_pattern_images/499.png
500,Oc1c(N)cccc1,[#8]c1c([#7])cccc1,../data/pubchemfp_pattern_images/500.png
501,Oc1c(Cl)cccc1,[#8]c1c([#17])cccc1,../data/pubchemfp_pattern_images/501.png
502,Oc1c(Br)cccc1,[#8]c1c([#35])cccc1,../data/pubchemfp_pattern_images/502.png
503,Sc1c(S)cccc1,Sc1c(S)cccc1,../data/pubchemfp_pattern_images/503.png
504,Sc1c(N)cccc1,Sc1c([#7])cccc1,../data/pubchemfp_pattern_images/504.png
505,Sc1c(Cl)cccc1,Sc1c([#17])cccc1,../data/pubchemfp_pattern_images/505.png
506,Sc1c(Br)cccc1,Sc1c([#35])cccc1,../data/pubchemfp_pattern_images/506.png
507,Nc1c(N)cccc1,[#7]c1c([#7])cccc1,../data/pubchemfp_pattern_images/507.png
508,Nc1c(Cl)cccc1,[#7]c1c([#17])cccc1,../data/pubchemfp_pattern_images/508.png
509,Nc1c(Br)cccc1,[#7]c1c([#35])cccc1,../data/pubchemfp_pattern_images/509.png
510,Clc1c(Cl)cccc1,[#17]c1c([#17])cccc1,../data/pubchemfp_pattern_images/510.png
511,Clc1c(Br)cccc1,[#17]c1c([#35])cccc1,../data/pubchemfp_pattern_images/511.png
512,Brc1c(Br)cccc1,[#35]c1c([#35])cccc1,../data/pubchemfp_pattern_images/512.png
513,CC1CCC(C)CC1,[#6][#6]1[#6][#6][#6]([#6])[#6][#6]1,../data/pubchemfp_pattern_images/513.png
514,CC1CCC(O)CC1,[#6][#6]1[#6][#6][#6]([#8])[#6][#6]1,../data/pubchemfp_pattern_images/514.png
515,CC1CCC(S)CC1,[#6][#6]1[#6][#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/515.png
516,CC1CCC(N)CC1,[#6][#6]1[#6][#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/516.png
517,CC1CCC(Cl)CC1,[#6][#6]1[#6][#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/517.png
518,CC1CCC(Br)CC1,[#6][#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/518.png
519,OC1CCC(O)CC1,[#8][#6]1[#6][#6][#6]([#8])[#6][#6]1,../data/pubchemfp_pattern_images/519.png
520,OC1CCC(S)CC1,[#8][#6]1[#6][#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/520.png
521,OC1CCC(N)CC1,[#8][#6]1[#6][#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/521.png
522,OC1CCC(Cl)CC1,[#8][#6]1[#6][#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/522.png
523,OC1CCC(Br)CC1,[#8][#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/523.png
524,SC1CCC(S)CC1,S[#6]1[#6][#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/524.png
525,SC1CCC(N)CC1,S[#6]1[#6][#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/525.png
526,SC1CCC(Cl)CC1,S[#6]1[#6][#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/526.png
527,SC1CCC(Br)CC1,S[#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/527.png
528,NC1CCC(N)CC1,[#7][#6]1[#6][#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/528.png
529,NC1CCC(Cl)CC1,[#7][#6]1[#6][#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/529.png
530,NC1CCC(Br)CC1,[#7][#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/530.png
531,ClC1CCC(Cl)CC1,[#17][#6]1[#6][#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/531.png
532,ClC1CCC(Br)CC1,[#17][#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/532.png
533,BrC1CCC(Br)CC1,[#35][#6]1[#6][#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/533.png
534,CC1CC(C)CCC1,[#6][#6]1[#6][#6]([#6])[#6][#6][#6]1,../data/pubchemfp_pattern_images/534.png
535,CC1CC(O)CCC1,[#6][#6]1[#6][#6]([#8])[#6][#6][#6]1,../data/pubchemfp_pattern_images/535.png
